,airport_ident,length_ft,le_ident,surface,lighted,closed
6302,5CA3,72.0,H1,CONC,0,0
6303,5CA4,2604.0,8,ASPH,0,0
6304,5CA5,14.0,H1,CONC,0,0
6305,5CA6,215.0,H1,CONC,0,0
6306,5CA7,3000.0,16,ASPH,1,0
6307,5CA8,1481.0,7,DIRT,0,0
6308,5CA9,3000.0,12,WATER,0,0
6309,5CD,2529.0,1,GRAVEL-F,0,0
6310,5CL0,2800.0,9,ASPH,0,0
6311,5CL1,1800.0,7,GRVL,0,0
6312,5CL2,50.0,H1,CONC,0,0
6313,5CL3,1800.0,11,DIRT,0,0
6314,5CL4,74.0,H1,CONC,1,0
6315,5CL5,50.0,H1,CONC,0,0
6316,5CL6,70.0,H1,CONC,1,0
6317,5CL7,2200.0,11,ASPH,0,0
6318,5CL8,2000.0,16,TRTD,0,0
6319,5CL9,2000.0,15,DIRT,0,0
6320,5CO0,2860.0,4,ASPH-P,1,0
6321,5CO0,2340.0,10,DIRT-GRVL-F,0,0
6322,5CO1,3000.0,2,TURF,0,0
6323,5CO2,50.0,H1,CONC,0,0
6324,5CO3,40.0,H1,CONC,0,0
6325,5CO4,3000.0,8,DIRT,0,0
6326,5CO5,15.0,H1,CONC,0,0
6327,5CO6,2500.0,12,TURF-GRVL,0,0
6328,5CO7,2140.0,01L,DIRT,0,0
6329,5CO8,2300.0,8,TURF,0,0
6330,5CO9,50.0,H1,CONC-G,0,0
6331,5CT0,1800.0,13,GRVL,0,0
6332,5CT1,150.0,H1,ASPH,0,0
6333,5CT3,20.0,H1,ASPH,0,0
6334,5CT4,90.0,H1,ASPH,0,0
6335,5CT5,1600.0,1,TURF,0,0
6336,5CT6,1100.0,3,TURF,0,0
6337,5CT7,1800.0,2,TURF,0,0
6338,5CT8,50.0,H1,ASPH,0,0
6339,5D1,120.0,H1,ASPH-G,0,0
6340,5D2,3300.0,17,TURF-G,1,0
6341,5D5,3663.0,9,TURF-G,1,0
6342,5D5,2670.0,16,TURF-F,0,0
6343,5D6,2530.0,9,TURF-G,0,0
6344,5D7,40.0,H1,CONC-G,0,0
6345,5D9,2576.0,18,TURF-G,0,0
6346,5.00E+09,3470.0,9,TURF-G,0,0
6347,5F5,3000.0,18,ASPH-TURF-G,1,0
6348,5F8,2900.0,8,TURF-G,0,0
6349,5FA1,2400.0,9,TURF-G,0,0
6350,5FD0,2800.0,4,TURF,0,0
6351,5FD1,2100.0,4,TURF-F,0,0
6352,5FD2,120.0,H1,ASPH,0,0
6353,5FD3,2100.0,18,ASPH-TURF,0,0
6354,5FD4,55.0,H1,CONC,0,0
6355,5FD5,2000.0,9,TURF,0,0
6356,5FD6,50.0,H1,CONC,0,0
6357,5FD7,2500.0,9,ASPH,0,0
6358,5FD8,118.0,H1,TURF,0,0
6359,5FD9,54.0,H1,CONC,0,0
6360,5FL0,1534.0,18,TURF-G,0,0
6361,5FL1,3000.0,1,TURF,0,0
6362,5FL2,80.0,H1,CONC,0,0
6363,5FL3,40.0,H1,CONC,0,0
6364,5FL4,2650.0,9,TURF,0,0
6365,5FL5,40.0,H1,CONC,0,0
6366,5FL6,2640.0,18,TURF,0,0
6367,5FL7,2600.0,4,TURF,1,0
6368,5FL8,2850.0,18,TURF,0,0
6369,5FL9,2415.0,1,TURF,0,0
6370,5G0,2640.0,10,ASPH-G,1,0
6371,5G2,4490.0,14,ASPH-G,0,0
6372,5G3,2250.0,15,ASPH-TURF-G,0,0
6373,5G4,2290.0,18,TURF-F,0,0
6374,5G8,2605.0,2,ASPH-F,1,0
6375,5GA0,1800.0,1,TURF,0,0
6376,5GA2,1800.0,9,TURF,0,0
6377,5GA3,2500.0,13,TURF,0,0
6378,5GA3,3500.0,18,TURF,0,0
6379,5GA4,2000.0,18,TURF,0,0
6380,5GA5,2800.0,18,DIRT-G,0,0
6381,5GA6,2900.0,9,TURF,0,0
6382,5GA7,2500.0,8,TURF,0,0
6383,5GE1,2700.0,18,TURF,0,0
6384,5H3,2130.0,2,TURF-G,0,0
6385,5H3,3000.0,13,TURF-G,1,0
6386,5HO,2000.0,16,GRAVEL-P,0,0
6387,5I2,2143.0,9,TURF-F,1,0
6388,5I6,2720.0,18,TURF-G,0,0
6389,5IA0,75.0,H1,CONC,0,0
6390,5IA2,60.0,H1,CONC,0,0
6391,5IA3,1870.0,14,TURF,0,0
6392,5IA4,60.0,H1,CONC,0,0
6393,5IA5,2600.0,E,TURF,0,0
6394,5IA6,2500.0,17,TURF,0,0
6395,5IA7,2200.0,N,TURF,1,0
6396,5IA8,40.0,H1,CONC,0,0
6397,5II1,2800.0,18,TURF,0,0
6398,5II2,2500.0,N,TURF,0,0
6399,5II3,21.0,H1,CONC,0,0
6400,5II4,40.0,H1,CONC,0,0
6401,5II7,30.0,H1,CONC,0,0
6402,5II8,1800.0,E,TURF,0,0
6403,5II9,2450.0,9,TURF,0,0
6404,5IL0,40.0,H1,ASPH,1,0
6405,5IL1,20.0,H1,CONC,0,0
6406,5IL2,1320.0,18,TURF,0,0
6407,5IL3,45.0,H1,ROOF-TOP,1,0
6408,5IL6,55.0,H1,CONC,1,0
6409,5IL6,35.0,H2,CONC,1,0
6410,5IL7,50.0,H1,TURF,0,0
6411,5IL8,46.0,H1,CONC,0,0
6412,5IL9,50.0,H1,CONC,1,0
6413,5IN1,40.0,H1,ALUMINUM,0,0
6414,5IN2,100.0,H1,Turf,0,0
6415,5IN3,2270.0,18,TURF,1,0
6416,5IN4,1800.0,N,TURF,0,0
6417,5IN5,1190.0,18,TURF,0,0
6418,5IN6,2800.0,7,TURF-F,0,0
6419,5IN7,4000.0,13W,WATER,0,0
6420,5IN8,3300.0,05W,WATER,0,0
6421,5IN9,1900.0,9,TURF,0,0
6422,5IS1,35.0,H1,CONC-G,0,0
6423,5IS2,40.0,H1,CONC,0,0
6424,5IS3,1825.0,9,TURF,0,0
6425,5IS4,1990.0,18,TURF,0,0
6426,5IS6,200.0,H1,TURF,0,0
6427,5IS7,2640.0,N,TURF,0,0
6428,5IS8,65.0,H1,CONC,1,0
6429,5IS8,48.0,H2,CONC-G,1,0
6430,5IS9,1800.0,E,TURF,0,0
6431,5J5,2900.0,4,TURF-G,0,0
6432,5K0,3460.0,8,TURF-G,0,0
6433,5K0,2270.0,17,TURF-G,0,0
6434,5K2,5000.0,17,CONC-E,1,0
6435,5K3,3200.0,H1,TURF,1,0
6436,5K4,3565.0,9,TURF-G,1,0
6437,5K6,2849.0,3,ASPH-CONC-F,1,0
6438,5K6,1517.0,14,TURF-F,0,0
6439,5K9,2900.0,17,TURF-F,0,0
6440,5KE,3893.0,E,WATER,0,0
6441,5KO,1000.0,18,DIRT,0,0
6442,5KS,2165.0,1,GRAVEL-F,0,0
6443,5KS0,400.0,ALL,TURF,0,0
6444,5KS1,1650.0,18,TURF-G,0,0
6445,5KS2,4000.0,E,DIRT,0,0
6446,5KS2,1000.0,N,DIRT,0,0
6447,5KS3,2200.0,4,TURF,0,0
6448,5KS4,1500.0,8,DIRT,0,0
6449,5KS4,2640.0,17,DIRT,0,0
6450,5KS6,2100.0,N,GRS,0,0
6451,5KS6,2200.0,NE,GRS,0,0
6452,5KS6,2200.0,NW,GRS,0,0
6453,5KS7,25.0,H1,CONC,0,0
6454,5KS8,2600.0,N,TURF,0,0
6455,5KS9,2625.0,17,TURF,0,0
6456,5KY2,1900.0,18,TURF,0,0
6457,5KY3,2915.0,4,ASPH-F,0,0
6458,5KY3,2900.0,04U,TURF-G,0,0
6459,5KY4,2930.0,13,TURF-G,0,0
6460,5KY5,3100.0,18,ASPH,0,0
6461,5KY6,1600.0,3,TURF-G,0,0
6462,5KY7,3380.0,17,ASPH-F,1,0
6463,5KY8,1400.0,3,TURF,0,0
6464,5KY9,1850.0,9,TURF,0,0
6465,5L6,4000.0,NE,WATER,0,0
6466,5LA0,1000.0,18,TURF-G,0,0
6467,5LA1,2800.0,18,TURF,0,0
6468,5LA2,700.0,H1,CONC-G,0,0
6469,5LA3,40.0,H1,CONC,0,0
6470,5LA3,30.0,H2,CONC,0,0
6471,5LA3,30.0,H3,CONC,0,0
6472,5LA3,40.0,H4,CONC,0,0
6473,5LA4,35.0,H1,CONC,0,0
6474,5LA4,35.0,H2,CONC,0,0
6475,5LA4,35.0,H3,CONC,0,0
6476,5LA4,35.0,H4,CONC,0,0
6477,5LA4,35.0,H5,CONC,0,0
6478,5LA4,35.0,H6,CONC,0,0
6479,5LA5,35.0,H1,CONC,0,0
6480,5LA6,5000.0,17W,WATER,0,0
6481,5LA7,35.0,H1,CONC,0,0
6482,5LA7,35.0,H2,CONC,0,0
6483,5LA7,35.0,H3,CONC,0,0
6484,5LA7,35.0,H4,CONC,0,0
6485,5LA7,35.0,H5,CONC,0,0
6486,5LA7,35.0,H6,CONC,0,0
6487,5LA8,12.0,H1,CONC,0,0
6488,5LL0,1940.0,18,TURF,0,0
6489,5LL1,1780.0,9,TURF-G,0,0
6490,5LL1,2102.0,17,TURF-G,0,0
6491,5LL2,1800.0,E,TURF,0,0
6492,5LL2,1250.0,N,TURF,0,0
6493,5LL3,2350.0,E,TURF,0,0
6494,5LL5,1800.0,18,TURF,0,0
6495,5LL7,2000.0,E,TURF,0,0
6496,5LL8,3450.0,9,ASPH-CONC,1,0
6497,5LL9,40.0,H1,CONC,1,0
6498,5LS0,40.0,H1,CONC,0,0
6499,5LS6,2200.0,E,ASPH,0,0
6500,5LS9,3275.0,1,ASPH,0,0
6501,5M1,3204.0,18,ASPH-F,1,0
6502,5M7,1570.0,7,TURF-G,0,0
6503,5M7,2250.0,17,TURF-G,0,0
6504,5MA0,60.0,H1,ASPH,0,0
6505,5MA2,65.0,H1,CONC,0,0
6506,5MA3,1800.0,2,TURF,0,0
6507,5MA4,30.0,H1,CONC,1,0
6508,5MA5,100.0,H1,TURF,0,0
6509,5MA6,60.0,H1,CONC,0,0
6510,5MA7,35.0,H1,WOOD,0,0
6511,5MA8,4000.0,3,WATER,0,0
6512,5MA9,1150.0,13,TURF,0,0
6513,5MA9,1550.0,17,TURF,0,0
6514,5MD1,1200.0,8,TURF-F,0,0
6515,5MD1,90.0,H1,CONC,0,0
6516,5MD3,20.0,H1,CONC-G,0,0
6517,5MD5,3000.0,1,TURF,0,0
6518,5MD6,50.0,H1,CONC,0,0
6519,5MD7,2200.0,16,TURF,0,0
6520,5MD8,2000.0,2,TURF,0,0
6521,5MD9,60.0,H1,CONC,1,0
6522,5MD9,60.0,H2,CONC,1,0
6523,5ME,7200.0,17W,WATER,0,0
6524,5MI0,80.0,H1,CONC,1,0
6525,5MI1,1600.0,12,TURF,0,0
6526,5MI5,125.0,H1,ASPH-CONC,0,0
6527,5MI6,60.0,H1,CONC,0,0
6528,5MI7,3000.0,5,TURF,0,0
6529,5MI8,1314.0,9,TURF,0,0
6530,5MI9,40.0,H1,ASPH,0,0
6531,5MN0,1400.0,11,TURF,0,0
6532,5MN1,2228.0,N,TURF,0,0
6533,5MN2,2500.0,18,TURF,0,0
6534,5MN3,50.0,H1,CONC,0,0
6535,5MN4,2100.0,9,TURF,0,0
6536,5MN5,1650.0,16,TURF,0,0
6537,5MN6,5000.0,13W,WATER,0,0
6538,5MN7,10000.0,04W,WATER,0,0
6539,5MN7,1800.0,9,TURF,0,0
6540,5MN7,2400.0,18,TURF,0,0
6541,5MN8,2640.0,9,TURF,0,0
6542,5MN8,3200.0,18,TURF,0,0
6543,5MN9,2400.0,18,TURF,0,0
6544,5MO,2100.0,18,ASPH-TURF-P,0,0
6545,5MO0,50.0,H1,CONC,0,0
6546,5MO1,2600.0,4,TURF,0,0
6547,5MO4,40.0,H1,TURF,0,0
6548,5MO5,52.0,H1,CONC,0,0
6549,5MO5,52.0,H2,CONC,0,0
6550,5MO7,60.0,H1,CONC,0,0
6551,5MO8,100.0,H1,TURF,0,0
6552,5MO9,1950.0,9,TURF,0,0
6553,5MS1,3670.0,17,CONC-TURF,0,0
6554,5MS2,2000.0,9,CONC-TURF,0,0
6555,5MS3,2000.0,9,TURF,0,0
6556,5MS4,2300.0,10,TURF,0,0
6557,5MS5,5000.0,3,TURF-G,0,0
6558,5MS6,1200.0,18,TURF,0,0
6559,5MS7,50.0,H1,CONC,1,0
6560,5MS8,2500.0,17,TURF,0,0
6561,5MS9,60.0,H1,CONC-G,1,0
6562,5N4,2157.0,3,ASPH-TURF-F,0,0
6563,5N4,2861.0,12,ASPH-F,1,0
6564,5N5,3350.0,15,TURF-G,1,0
6565,5N7,3600.0,8,TURF-G,0,0
6566,5NA0,2000.0,8,TURF,0,0
6567,5NA0,1100.0,15,TURF,0,0
6568,5NA2,2400.0,17,TURF,0,0
6569,5NC0,20.0,H1,ALUMINUM,1,0
6570,5NC1,2100.0,18,TURF,0,0
6571,5NC3,2538.0,13,ASPH-G,0,0
6572,5NC4,50.0,H1,CONC,0,0
6573,5NC5,3500.0,3,ASPH,0,0
6574,5NC6,30.0,H1,CONC,0,0
6575,5NC7,50.0,H1,CONC-G,0,0
6576,5NC8,40.0,H1,ASPH,0,0
6577,5NC9,25.0,H1,CONC,0,0
6578,5ND0,1400.0,E,TURF,0,0
6579,5ND0,1600.0,N,TURF,0,0
6580,5ND3,1600.0,15,DIRT,0,0
6581,5ND3,1600.0,18,DIRT,0,0
6582,5ND9,4400.0,16,TURF,0,0
6583,5NE2,2400.0,17,TURF,0,0
6584,5NE3,2000.0,N,TURF,0,0
6585,5NE4,1800.0,17,TURF,0,0
6586,5NE5,3400.0,10,TURF,0,0
6587,5NE9,2600.0,N,TURF,0,0
6588,5NJ0,200.0,H1,ASPH,0,0
6589,5NJ2,2800.0,7,TURF,0,0
6590,5NJ3,100.0,H1,ASPH,0,0
6591,5NJ4,138.0,H1,CONC,0,0
6592,5NJ5,100.0,H1,TURF,0,0
6593,5NJ6,200.0,H1,TURF,0,0
6594,5NJ7,100.0,H1,ASPH,1,0
6595,5NJ8,75.0,H1,ASPH-G,0,0
6596,5NJ9,88.0,H1,ASPH,0,0
6597,5NK,1950.0,8,GRVL-F,1,0
6598,5NK,2000.0,08W,WATER,0,0
6599,5NK,1850.0,14,GRVL-F,1,0
6600,5NK0,3000.0,8,TURF,0,0
6601,5NK1,2000.0,1,TURF,0,0
6602,5NK2,83.0,H1,ASPH-DIRT,1,0
6603,5NK3,84.0,H1,ASPH-DIRT,1,0
6604,5NK4,40.0,H1,ASPH-G,0,0
6605,5NK5,1650.0,17,TURF,0,0
6606,5NK6,250.0,H1,TURF,0,0
6607,5NK7,60.0,H1,TURF,0,0
6608,5NK8,150.0,H1,ASPH-G,0,0
6609,5NK9,1500.0,18,TURF,0,0
6610,5NY1,3000.0,15,TURF,0,0
6611,5NY2,40.0,H1,CONC,0,0
6612,5NY3,2000.0,18,TURF,0,0
6613,5NY4,2000.0,11,TURF,0,0
6614,5NY5,2400.0,12,GRVL-TRTD,0,0
6615,5NY6,200.0,H1,TURF,0,0
6616,5NY7,1500.0,14,TURF,0,0
6617,5NY8,75.0,H1,ASPH,0,0
6618,5O1,2565.0,16,ASPH-F,1,0
6619,5OH0,1000.0,18,TURF,0,0
6620,5OH1,50.0,H1,ASPH,0,0
6621,5OH2,75.0,H1,ASPH-CONC,0,0
6622,5OH3,34.0,H1,CONC,0,0
6623,5OH4,3600.0,N,TURF,0,0
6624,5OH5,60.0,H1,GRVL,0,0
6625,5OH6,2800.0,E,TURF,0,0
6626,5OH7,2640.0,E,TURF,0,0
6627,5OH8,40.0,H1,ASPH,0,0
6628,5OH9,2640.0,9,TURF,0,0
6629,5OI0,1650.0,7,TURF,0,0
6630,5OI3,1850.0,18,TURF,0,0
6631,5OI5,2600.0,9,TURF,0,0
6632,5OI7,2600.0,N,TURF,0,0
6633,5OI8,1900.0,18,TURF,0,0
6634,5OI9,1700.0,18,TURF,0,0
6635,5OK0,1050.0,6,Turf,0,0
6636,5OK1,40.0,H1,CONC,0,0
6637,5OK2,3600.0,15,TURF,0,0
6638,5OK3,4000.0,9,TURF,0,0
6639,5OK4,2645.0,17,TURF,0,0
6640,5OK5,42.0,H1,CONC,0,0
6641,5OK7,25.0,H1,GRAVEL,0,0
6642,5OR0,2400.0,2,TURF,0,0
6643,5OR1,40.0,H1,TURF,0,0
6644,5OR2,1450.0,7,TURF,0,0
6645,5OR3,1300.0,16,TURF,0,0
6646,5OR4,2600.0,10,TURF,0,0
6647,5OR5,2640.0,6,DIRT,0,0
6648,5OR6,60.0,H1,CONC,0,0
6649,5OR7,75.0,H1,TURF,0,0
6650,5OR8,2500.0,15,TURF-GRVL,1,0
6651,5OR9,1700.0,16,TURF,0,0
6652,5P3,3600.0,13,TURF-F,1,0
6653,5P5,3350.0,10,TURF-GRVL-G,1,0
6654,5PA0,2000.0,5,TURF,0,0
6655,5PA1,1600.0,6,TURF,0,0
6656,5PA2,1835.0,8,TURF,0,0
6657,5PA4,60.0,H1,TURF,0,0
6658,5PA5,65.0,H1,ASPH-F,0,0
6659,5PA6,1650.0,4,TURF,0,0
6660,5PA7,100.0,H1,TURF,0,0
6661,5PA8,1800.0,11,TURF,0,0
6662,5PA9,1550.0,13,DIRT,0,0
6663,5PN2,50.0,H1,CONC-G,0,0
6664,5PN3,65.0,H1,ASPH,1,0
6665,5PN4,60.0,H1,TURF,0,0
6666,5PN5,1400.0,3,TURF,0,0
6667,5PN6,60.0,H1,CONC-P,1,0
6668,5PN7,1200.0,12,TURF,0,0
6669,5PN8,1420.0,2,TURF,0,0
6670,5PN9,45.0,H1,MATS,1,0
6671,5PS0,60.0,H1,CONC,0,0
6672,5PS1,45.0,H1,CONC,0,0
6673,5PS2,65.0,H1,CONC,0,0
6674,5PS3,65.0,H1,CONC,0,0
6675,5PS5,1700.0,7,TURF,0,0
6676,5PS6,40.0,H1,ASPH,1,0
6677,5PS7,65.0,H1,TURF,0,0
6678,5PS8,40.0,H1,ASPH,0,0
6679,5PS9,1476.0,9,TURF,0,0
6680,5Q2,40.0,H1,CONC,0,0
6681,5Q2,40.0,H2,CONC,0,0
6682,5QC,2960.0,12,GRVL-G,0,0
6683,5R7,2000.0,18,TURF-G,0,0
6684,5S1,2300.0,10,TURF-G,0,0
6685,5S4,1750.0,13,ASPH-F,0,0
6686,5S5,2500.0,16,ASPH-G,0,0
6687,5SC5,40.0,H1,CONC,1,0
6688,5T0,3110.0,4,TURF-F,0,0
6689,5T4,2230.0,12,ASPH-TURF-E,0,0
6690,5TA0,3700.0,E,TURF,0,0
6691,5TA1,2200.0,1,TURF,0,0
6692,5TA2,2600.0,14,TURF,0,0
6693,5TA3,2200.0,16,TURF,0,0
6694,5TA4,3100.0,N,TURF,0,0
6695,5TA4,2500.0,NE,TURF,0,0
6696,5TA5,2600.0,12,TURF,0,0
6697,5TA6,2600.0,17,TURF,0,0
6698,5TA7,1400.0,18,TURF,0,0
6699,5TA8,2000.0,17,TURF,0,0
6700,5TA9,2675.0,18,GRVL-G,0,0
6701,5TE0,5500.0,15,ASPH,1,0
6702,5TE1,1800.0,3,DIRT,0,0
6703,5TE1,3722.0,8,DIRT,0,0
6704,5TE1,2400.0,12,DIRT,0,0
6705,5TE1,1600.0,17,DIRT,0,0
6706,5TE2,2800.0,14,GRAVEL,0,0
6707,5TE3,2200.0,N,TURF,0,0
6708,5TE4,4300.0,1,ASPH-F,0,0
6709,5TE5,4000.0,16,ASPH,1,0
6710,5TE6,1800.0,3,TURF,1,0
6711,5TE7,1600.0,6,TURF,0,0
6712,5TE7,1600.0,18,TURF,0,0
6713,5TE8,2100.0,E,TURF,0,0
6714,5TE8,4500.0,N,TURF,0,0
6715,5TE9,90.0,H1,DIRT,0,0
6716,5TN0,150.0,H1,TURF,0,0
6717,5TN1,60.0,H1,ASPH,0,0
6718,5TN2,40.0,H1,CONC,0,0
6719,5TN3,20.0,H1,CONC,0,0
6720,5TN4,2000.0,15,TURF,0,0
6721,5TN5,35.0,H1,CONC,0,0
6722,5TN6,150.0,H1,ASPH,0,0
6723,5TN7,30.0,H1,CONC,0,0
6724,5TN8,40.0,H1,CONC,0,0
6725,5TN9,2500.0,9,TURF,0,0
6726,5TS1,4500.0,12,ASPH,0,0
6727,5TS2,1500.0,16,TURF,0,0
6728,5TS3,2500.0,14,TURF,0,0
6729,5TS4,1520.0,17,TURF,0,0
6730,5TS5,2000.0,1,TURF,0,0
6731,5TS6,50.0,H1,TURF,0,0
6732,5TS7,2500.0,18,TURF,0,0
6733,5TS8,1800.0,1,TURF,0,0
6734,5TS9,3700.0,9,TURF,0,0
6735,5TX0,2600.0,16,ASPH,0,0
6736,5TX1,1750.0,E,DIRT,0,0
6737,5TX2,2400.0,3,TURF,0,0
6738,5TX3,57.0,H1,CONC,0,0
6739,5TX4,2300.0,N,TURF,0,0
6740,5TX5,525.0,H1,TURF,0,0
6741,5TX6,1900.0,16,TURF,0,0
6742,5TX7,20.0,H1,CONC,0,0
6743,5TX8,2500.0,5,TURF,0,0
6744,5TX8,2100.0,18,TURF,0,0
6745,5U0,2550.0,9,TURF-G,0,0
6746,5U6,3000.0,8,TURF-G,0,0
6747,5U8,2900.0,7,ASPH-F,1,0
6748,5V4,4565.0,17,TURF-GRVL-G,1,0
6749,5V6,3000.0,8,TURF-GRVL-P,0,0
6750,5V6,2150.0,11,TURF-GRVL-P,0,0
6751,5V8,1600.0,4,TURF-F,0,0
6752,5V8,2600.0,12,TURF-GRVL-F,1,0
6753,5VA0,40.0,H1,CONC,0,0
6754,5VA1,72.0,H1,CONC-G,0,0
6755,5VA2,55.0,H1,CONC,1,0
6756,5VA3,40.0,H1,TURF,0,0
6757,5VA4,120.0,H1,ASPH,0,0
6758,5VA5,1400.0,9,TURF,0,0
6759,5VA6,50.0,H1,TURF,0,0
6760,5VA7,20.0,H1,CONC,0,0
6761,5VA8,40.0,H1,CONC,0,0
6762,5VA9,2000.0,18,TURF-F,0,0
6763,5VG2,1300.0,17,Turf,0,0
6764,5WA0,2650.0,12,TURF,0,0
6765,5WA1,1400.0,3,TURF,0,0
6766,5WA2,1800.0,E,TURF,0,0
6767,5WA3,115.0,H1,ASPH,0,0
6768,5WA4,100.0,H1,GRAVEL,0,0
6769,5WA5,1400.0,9,DIRT,0,0
6770,5WA6,20.0,H1,CONC,0,0
6771,5WA7,2300.0,7,TURF,0,0
6772,5WA8,3700.0,6,ASPH,0,0
6773,5WA9,2800.0,7,TURF,0,0
6774,5WI0,2500.0,18,TURF,0,0
6775,5WI1,2400.0,10,TURF-G,0,0
6776,5WI2,1070.0,9,TURF-G,0,0
6777,5WI3,2000.0,4,TURF,0,0
6778,5WI4,2600.0,18,TURF,0,0
6779,5WI5,2200.0,9,TURF,0,0
6780,5WI6,2200.0,18,TURF-G,0,0
6781,5WI7,30.0,H1,ASPH,0,0
6782,5WI8,1900.0,18,TURF,0,0
6783,5WN2,1900.0,11,TURF,0,0
6784,5WN8,2400.0,8,TURF,0,0
6785,5WN9,2600.0,13,TURF,0,0
6786,5WV5,80.0,H1,CONC,1,0
6787,5XA1,2250.0,15,Turf,0,0
6788,5XS0,1500.0,1,TURF-F,0,0
6789,5XS1,50.0,H1,CONC,0,0
6790,5XS2,2600.0,3,ASPH-GRVL,0,0
6791,5XS3,2700.0,17,TURF,0,0
6792,5XS5,2000.0,4,TURF,0,0
6793,5XS6,3000.0,12,ASPH-TURF-F,0,0
6794,5XS7,2680.0,9,TURF,0,0
6795,5XS8,3150.0,15,TURF,0,0
6796,5XS9,4000.0,14,TURF,0,0
6797,5Y0,2140.0,3,TURF-G,0,0
6798,5Y2,2750.0,16,TURF-F,0,0
6799,5Y3,2523.0,18,TURF-G,1,0
6800,5Y4,2200.0,5,TURF-F,0,0
6801,5Y4,2600.0,18,TURF-F,0,0
6802,5Y5,2500.0,18,TURF-G,0,0
6803,5Y7,4000.0,18,TURF-P,0,0
6804,5Z1,10000.0,NW,WATER-E,0,0
6805,5Z4,200.0,H1,TURF-G,1,0
6806,5Z5,1850.0,10,GRVL-F,0,0
6807,5Z7,800.0,10,GRAVEL-F,0,0
6808,5Z9,5000.0,ALL,WATER-E,0,0
6809,60A,3000.0,5,ASPH-P,1,0
6810,60AK,100.0,H1,ASPH,0,0
6811,60AZ,1900.0,15,DIRT,0,0
6812,60B,4000.0,1,WATER-E,0,0
6813,60B,5500.0,9,WATER-E,0,0
6814,60CA,100.0,H1,CONC,0,0
6815,60CL,1400.0,5,ASPH,0,0
6816,60CL,1200.0,16,ASPH,0,0
6817,60CN,50.0,H1,CONC-G,0,0
6818,60FD,40.0,H1,CONC,0,0
6819,60FL,44.0,H1,CONC,0,0
6820,60G,2653.0,8,TURF-G,1,0
6821,60GA,45.0,H1,CONC,0,0
6822,60GA,45.0,H2,CONC,0,0
6823,60II,40.0,H1,CONC,0,0
6824,60IS,4000.0,16,TURF,0,0
6825,60KS,1200.0,17,TURF,0,0
6826,60KY,60.0,H1,CONC,0,0
6827,60L,50.0,H1,ASPH,0,0
6828,60LL,42.0,H1,CONC,0,0
6829,60M,1949.0,1,ASPH-F,1,0
6830,60MA,20.0,H1,TURF,0,0
6831,60MA,20.0,H2,TURF,0,0
6832,60MI,2020.0,18,TURF,0,0
6833,60MN,2600.0,N,TURF,0,0
6834,60MO,50.0,H1,ASPH,0,0
6835,60NC,2800.0,6,TURF-F,1,0
6836,60NE,40.0,H1,CONC,0,0
6837,60NY,125.0,H1,ASPH,1,0
6838,60OH,125.0,H1,ASPH,0,0
6839,60OI,2000.0,9,TURF,0,0
6840,60OK,2640.0,17,ASPH,0,0
6841,60OR,2000.0,1,GRVL-DIRT,0,0
6842,60PA,60.0,H1,CONC,0,0
6843,60PN,70.0,H1,ASPH,0,0
6844,60TA,3800.0,16,ASPH-CONC,0,0
6845,60TE,3000.0,16,ASPH,0,0
6846,60TS,40.0,H1,CONC,0,0
6847,60TX,3600.0,16,TRTD,1,0
6848,60VA,30.0,H1,CONC,0,0
6849,60WA,60.0,H1,ASPH,0,0
6850,60WI,60.0,H1,CONC,0,0
6851,60XS,12.0,H1,MATS,0,0
6852,61AK,20.0,H1,TURF-P,0,0
6853,61AK,20.0,H2,TURF-P,0,0
6854,61AR,2800.0,10,ASPH,0,0
6855,61AZ,1550.0,04U,TURF,0,0
6856,61AZ,1578.0,07U,TURF,0,0
6857,61CA,1300.0,8,DIRT,0,0
6858,61CO,20.0,H1,CONC,0,0
6859,61D,2550.0,1,TURF-G,0,0
6860,61D,2650.0,9,ASPH-P,1,0
6861,61FD,60.0,H1,CONC,1,0
6862,61FL,110.0,H1,CONC,0,0
6863,61G,2175.0,5,TURF-G,0,0
6864,61GA,2500.0,18,TURF,0,0
6865,61II,1200.0,N,TURF,0,0
6866,61IN,2550.0,18,TURF,0,0
6867,61IS,2400.0,18,TURF,0,0
6868,61J,80.0,H1,CONC-G,1,0
6869,61K,1790.0,12,TURF-F,0,0
6870,61K,3160.0,18,TURF-F,1,0
6871,61KS,2300.0,17,TURF,0,0
6872,61KY,1900.0,17,TURF,0,0
6873,61L,100.0,H1,ASPH,0,0
6874,61LA,40.0,H1,CONC,0,0
6875,61LL,1600.0,9,TURF-F,0,0
6876,61MA,1700.0,16,TURF,0,0
6877,61MI,20.0,H1,TURF,0,0
6878,61MN,3000.0,E,TURF,0,0
6879,61MO,2600.0,18,TURF,0,0
6880,61MU,2100.0,16,ASPH-P,0,0
6881,61NC,4000.0,1,TURF,0,0
6882,61ND,2000.0,9,TURF,0,0
6883,61NE,45.0,H1,CONC,0,0
6884,61NE,45.0,H2,CONC,0,0
6885,61NH,100.0,H1,ASPH,1,0
6886,61NJ,2000.0,10,TURF,0,0
6887,61NY,1600.0,N,TURF,0,0
6888,61OH,2250.0,4,TURF,1,0
6889,61OH,1600.0,9,TURF,1,0
6890,61OI,30.0,H1,WOOD,0,0
